id;term_greek_transliterated;translation_eng;from;term_greek;hisco_major;harris_sector
181;προβατοπώλης;sheep-dealer;lewis;probatopṓlēs;4;Food-Retail
182;προμετρητής;surveyor;harris;prometrētḗs;0;Miscellaneous Services
183;προρεύς;keeper of stores on ship;harris;proreús;3;Transport
184;ῥάπτης;clothes-mender;lewis;rháptēs;7;Clothing
185;ῥιζοπώλης;seller of medicinal roots;lewis;rhizopṓlēs;4;Retail
186;ῥιζοτόμος;gatherer of medicinal roots;lewis;rhizotómos;6;Household Goods
187;σακχυφάντης;sack-maker;lewis;sakchyphántēs;9;Household Goods
188;σησαμοπώλης;sesame-seller;lewis;sēsamopṓlēs;4;Food-Retail
189;σιδηροπώλης;iron-seller;lewis;sidēropṓlēs;4;Retail
190;σιδηρουργός;iron-worker;lewis;sidērourgós;8;Metal-Working
191;σινδονοπώλης;seller of fine cloth;lewis;sindonopṓlēs;4;Retail
192;σιτοποιός;baker;lewis;sitopoiós;7;Food-Production
193;σιτοπώλης;grain-dealer;lewis;sitopṓlēs;4;Food-Retail
194;σκαφεύς;digger;harris;skapheús;9;Building
195;σκευοποιός;maker of equipment;harris;skeuopoiós;8;Miscellaneous Services
196;σκευοπώλης;seller of equipment;harris;skeuopṓlēs;4;Retail
197;σκηνίτης;one who keeps a stall or tentmaker;harris;skēnítēs;7;Building
198;σκηνογράφος;painter of scenery;harris;skēnográphos;1;Plastic Arts
199;σκυλοδέψης;tanner of hides;harris;skylodépsēs;7;Clothing
200;σκυτοτόμος;leather-worker;lewis;skytotómos;7;Clothing
201;σπερματοπώλης;seed-seller;lewis;spermatopṓlēs;4;Food-Retail
202;στεφανοποιός;wreath-weaver;lewis;stephanopoiós;9;Household Goods
203;στεφανόπολις;wreath-seller;lewis;stephanópolis;4;Retail
204;στυππειοπώλης;oakumseller;lewis;styppeiopṓlēs;4;Retail
205;συβώτης;swineherd;lewis;sybṓtēs;6;Food-Production
206;συριγγοποιός;maker of pipes;harris;syringopoiós;9;Plastic Arts
207;συρμαιοπώλης;seller of emetics;lewis;syrmaiopṓlēs;4;Retail
208;σχοινοπλόκος;rope-maker;lewis;schoinoplókos;7;Household Goods
209;σωροποιός;Funeral-urn maker;lewis;sōropoiós;8;Miscellaneous Services
210;ταινιόπολις;ribbon-seller;lewis;tainiópolis;4;Retail
211;ταμίας;keeper of stores on estate;harris;tamías;3;Miscellaneous Services
212;ταριχοπώλης;salt-fish seller;lewis;tarichopṓlēs;4;Food-Retail
213;τέκτων;craftsman, joiner;harris;téktōn;9;Building
214;τίτθη;wet-nurse;harris;títthē;6;Miscellaneous Services
